,DESCRIPTION,CATEGORY
7769,when my friend was going to college she was touched and harresed by a group of boys,Commenting
7770,some group of boys tried to touch my friend when she was going to market,Catcalls/Whistles
7771,small gir;l haressed by an old man on local bus,Touching /Groping
7772,some boys on street tried to touch my friend when she was alone..,Touching /Groping
7773,when i was walking on road some boys wistled and commented me...,Catcalls/Whistles
7774,some boys came in bike and hit my back and ran away,Touching /Groping
7775,some people on the road has haressed college girl,Touching /Groping
7776,it was happened to me when i was travelling in a micro bus. some boys tried to touch me here and there,Catcalls/Whistles
7777,some boys at basantapur jatra tried to touch me time to time,Touching /Groping
7778,around 6 pm evening i was returning home .i saw one man beating one girl and snatching her neck chain,Commenting
7779,my friend was followed and wistles at evening by some boys,Catcalls/Whistles
7780,"it has happened to my friend when she was returning from picnic some boys tried to harresed her....,.",Touching /Groping
7781,when i was returning to home from aunti house some boys in micro bus was commenting and touching me......,Commenting
7782,I was in the market with my family and a man actually groped my breast.,Touching /Groping
7783,The guy tried to touch the private part of my friend.,Touching /Groping
7784,I was going to the market. A boy came on the bike and tried to touch me on my private parts.,Touching /Groping
7785,A group of boys were commenting and whistling while I was performing a play. (street play).,Catcalls/Whistles
7786,A guy followed us around Khan Market from one shop to another and then to the parking lot. We had to tell the police officer.,Others
7787,While entering the subway someone was going up and my friend was going down. When  they crossed he groped her butt.,Touching /Groping
7788,Somebody was trying to touch me from the back.,Commenting
7789,There was a group of boys who threw water balloons on my butt.,Others
7790,Wanted to get physical,Indecent exposure
7791,Tried to touch my breast with his elbow and hand,Commenting
7792,I was travelling and somebody was staring at me and followed me.,Ogling/Facial Expressions/Staring
7793,My friend entered the lift where an old man was already inside. The old man tried to kiss my friend.,Touching /Groping
7794,physical abuse inside a bus by a middle age man,Touching /Groping
7795,there were 2 school girls moving on the way. a group of young boys were walking opposite side of the girls way. among them one boy was trying to pull their skirts.,Touching /Groping
7796,"this is a story of a students from a village staying in city for study purpose. 2 cousins, sister and elder brother used to live in that rented room, but the brother established sexual relation with her sister resulting to pregnancy.",Rape / Sexual Assault
7797,some random guy touched my friends breast and ran away while we were returning home from tuition.,Touching /Groping
7798,"physical abuse, teasing and followed by a drunk man in a bus to home. as i warned him to call police he ran away.",Touching /Groping
7799,"while travelling in a bus, one middle aged man tried to touch my breast. i felt so uncomfortable and tried to avoid him but he again harass me through his eyes and facial expressions.",Catcalls/Whistles
7800,"some occasions like JATRAS-indecent exposure, touching especially groping happens to woman in a mass from people with bad intentions.",Touching /Groping
7801,me and my friend were walking on a road. meanwhile a stranger guy touched her thigh and stomach very badly.,Touching /Groping
7802,"a girl from her own family gets harass unknowingly.her brother in law call her to meet him and she meet him but his behave was so dreadful that he started kissing and doing naughty, silly things which makes the girl feel very bad. she cant raise her voice because of family prestige.",Commenting
7803,teasing  and taking pictures of a young girl at bus by two old age man.,Catcalls/Whistles
7804,sexually harassed in a school by her own teacher. teacher used to touch her private areas and abuse her sexually.,Touching /Groping
7805,"while travelling an old guy nearly my fathers age sat next to me. when the bus started, he started to talk at his phone. i had a bag on my lap. suddenly my thigh sense someones touch but i thought it was just my bag. but as i reached my destination &amp; took my bag off my lap, there was his hand on my thigh.",Touching /Groping
7806,"while i was heading towards college, a married man sat to me touches my sensitive organs of my body. initially i ignore it but as he action repeats i asked him to stop it.",Catcalls/Whistles
7807,whistling and commenting unwanted things while walking in a road.,Catcalls/Whistles
7808,"it was about 6 yrs ago, i was waiting for micro bus, a man starred, spoke some abusive words and even followed me.",Catcalls/Whistles
7809,"while i was waiting for a bus at bus stand, man of 30-35 age stopped his bike and asked for life with bad intention or facial expression.",Ogling/Facial Expressions/Staring
7810,physical abuse(holding breast) inside bus. nobody did anything to help me. it was so painful.,Touching /Groping
7811,"physical abuse(Grabbing boobs) while walking,
emotionally weak for several weaks",Touching /Groping
7812,"while walking in a road, a man came near to me and grabbed my breast. i slapped him and he ran away.",Touching /Groping
7813,guys shows their penis in the streets of boudha makes me embarrassed while i was walking for work.,Indecent exposure
7814,a man came closer to me and touched my thigh slowly while i was traveling in a bus. i then suddenly changed the seat.,Touching /Groping
7815,"it was a summer afternoon, i was walking in the street. 2 boys on a motorbike were coming towards me from opposite direction. one of them touched my lower front part of my body.",Catcalls/Whistles
7816,my sister was followed by two boys when she was returning home from school. they whistles and spoke bad words to her.,Catcalls/Whistles
7817,"one day while i was going for a college at morning time, a man of age 30-35 was misbehaving with me and using vulgar words to me.",Catcalls/Whistles
7818,"as per my guess, a man of nearly 30-35 was pushing me to the left corner and trying to touch me.",Catcalls/Whistles
7819,"i was being touched by one old man who was sitting next to me in a micro bus.when i was coming out of bus for my college, that old man touched my lower part. every person have seen that who were there but nobody spoke a word a little.",Catcalls/Whistles
7820,physical abuse in a public vehicle by touching my front part of body. i immediately threw his hands off and he seems drunk too.,Touching /Groping
7821,"while walking back to my home, a guy coming towards me on a bicycle touched my breast and went away. i was so scared and embarrassed at that timee.",Catcalls/Whistles
7822,physical abuse inside a public vehicle.,Catcalls/Whistles
7823,it is about my friend who was sexually abused by her own father. her father comes close to her when there is no family members in a home.,Touching /Groping
